spearman,top_10_recall,fold,dataset,assay,model,split
0.3595668908044489,0.2,0,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.6524252930529906,0.0,1,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.3516573167617231,0.0,2,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.486837011963547,0.0,3,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.4558512144381933,0.25,4,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.44202183751291696,0.2916666666666667,aggregated,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
0.46126754540418063,0.09,average,GDPa1_cross_validation,HIC,ablang2_elastic_net,test
-0.013240418118466902,0.0,0,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.006565628942365515,0.3333333333333333,1,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.02086296823138928,0.0,2,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.28700136379027685,0.0,3,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.20469043151969987,0.25,4,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.09071826450788342,0.10526315789473684,aggregated,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.10117599487305293,0.11666666666666665,average,GDPa1_cross_validation,Tm2,ablang2_elastic_net,test
0.22798387393319297,0.0,0,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.46539276100800725,0.0,1,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.519516575214773,0.0,2,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.13807443046684176,0.75,3,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.427675142526527,0.0,4,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.3269474288706291,0.21739130434782608,aggregated,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.3557285566298684,0.15,average,GDPa1_cross_validation,Titer,ablang2_elastic_net,test
0.5463739294376586,0.0,0,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.32498898984134517,0.0,1,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.31517610239579713,0.0,2,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.26965668849599495,0.0,3,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.3529525044989415,0.0,4,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.3815020443435723,0.15789473684210525,aggregated,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.3618296429339475,0.0,average,GDPa1_cross_validation,PR_CHO,ablang2_elastic_net,test
0.6648365317497081,0.4,0,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.20068406767746824,0.25,1,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.4761052076018578,0.25,2,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.6189476622506761,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.5860425265148903,0.0,4,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.5344395285838207,0.2916666666666667,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.5093231991589201,0.18,average,GDPa1_cross_validation,AC-SINS_pH7.4,ablang2_elastic_net,test
0.5795465851295858,0.3333333333333333,0,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.7632444014916635,0.3684210526315789,1,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.7027813720930403,0.2631578947368421,2,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.7030808129002063,0.23529411764705882,3,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.577370853396343,0.2631578947368421,4,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.6730795873307428,0.34375,aggregated,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.6652048050021677,0.29267285861713105,average,GDPa1_cross_validation,HIC,ablang2_elastic_net,train
0.6715678731857461,0.25,0,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.32055569744196016,0.4,1,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.2630529567066281,0.0,2,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.5108053821526948,0.2857142857142857,3,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.3026903594027713,0.3125,4,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.46260217567867795,0.2987012987012987,aggregated,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.4137344537779601,0.24964285714285714,average,GDPa1_cross_validation,Tm2,ablang2_elastic_net,train
0.46124357981692393,0.047619047619047616,0,GDPa1_cross_validation,Titer,ablang2_elastic_net,train
0.600708641812804,0.10526315789473684,1,GDPa1_cross_validation,Titer,ablang2_elastic_net,train
0.6561342220234723,0.16666666666666666,2,GDPa1_cross_validation,Titer,ablang2_elastic_net,train
0.41627216648279813,0.7058823529411765,3,GDPa1_cross_validation,Titer,ablang2_elastic_net,train
0.5695837561406053,0.2777777777777778,4,GDPa1_cross_validation,Titer,ablang2_elastic_net,train
