spearman,top_10_recall,fold,dataset,assay,model,split
0.4573226269316342,0.4,0,GDPa1_cross_validation,HIC,aggrescan3d,test
0.3792953744452911,0.0,1,GDPa1_cross_validation,HIC,aggrescan3d,test
0.2214078335269889,0.0,2,GDPa1_cross_validation,HIC,aggrescan3d,test
0.6145550756204091,0.5,3,GDPa1_cross_validation,HIC,aggrescan3d,test
0.3466081598028483,0.0,4,GDPa1_cross_validation,HIC,aggrescan3d,test
0.4228347742254292,0.2916666666666667,aggregated,GDPa1_cross_validation,HIC,aggrescan3d,test
0.4038378140654343,0.18,average,GDPa1_cross_validation,HIC,aggrescan3d,test
0.1186983810073163,0.0,0,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.10948107223224407,0.0,1,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.47132797417101396,0.3333333333333333,2,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
-0.20546606306399615,0.0,3,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.06584022473829834,0.0,4,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.1353927977149209,0.10526315789473684,aggregated,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.1119763178169753,0.06666666666666667,average,GDPa1_cross_validation,PR_CHO,aggrescan3d,test
0.4573226269316343,0.38095238095238093,0,GDPa1_cross_validation,HIC,aggrescan3d,train
0.3792953744452911,0.15789473684210525,1,GDPa1_cross_validation,HIC,aggrescan3d,train
0.2214078335269889,0.0,2,GDPa1_cross_validation,HIC,aggrescan3d,train
0.6145550756204091,0.5294117647058824,3,GDPa1_cross_validation,HIC,aggrescan3d,train
0.34660815980284837,0.0,4,GDPa1_cross_validation,HIC,aggrescan3d,train
0.42283477422542914,0.2916666666666667,aggregated,GDPa1_cross_validation,HIC,aggrescan3d,train
0.4038378140654344,0.2136517765000737,average,GDPa1_cross_validation,HIC,aggrescan3d,train
0.1186983810073163,0.1111111111111111,0,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
0.10948107223224406,0.0,1,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
0.47132797417101385,0.42857142857142855,2,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
-0.2054660630639961,0.14285714285714285,3,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
0.06584022473829833,0.0,4,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
0.1353927977149209,0.10256410256410256,aggregated,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
0.11197631781697528,0.13650793650793652,average,GDPa1_cross_validation,PR_CHO,aggrescan3d,train
