spearman,top_10_recall,fold,dataset,assay,model,split
0.4483697501081049,0.4,0,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.3459732395262696,0.0,1,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.5590032010774589,0.25,2,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.746854637145757,0.5,3,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.5569814032692318,0.25,4,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.5321510999233658,0.4583333333333333,aggregated,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.5314364462253645,0.27999999999999997,average,GDPa1_cross_validation,HIC,deepsp_ridge,test
0.11149825783972127,0.0,0,GDPa1_cross_validation,Tm2,deepsp_ridge,test
-0.1864638619631806,0.0,1,GDPa1_cross_validation,Tm2,deepsp_ridge,test
-0.05713608345187292,0.0,2,GDPa1_cross_validation,Tm2,deepsp_ridge,test
0.3466303129792521,0.0,3,GDPa1_cross_validation,Tm2,deepsp_ridge,test
0.1482176360225141,0.0,4,GDPa1_cross_validation,Tm2,deepsp_ridge,test
0.028910693092366335,0.0,aggregated,GDPa1_cross_validation,Tm2,deepsp_ridge,test
0.07254925228528679,0.0,average,GDPa1_cross_validation,Tm2,deepsp_ridge,test
0.0995564529078623,0.0,0,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.017154334827776774,0.0,1,GDPa1_cross_validation,Titer,deepsp_ridge,test
-0.01179668091538443,0.0,2,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.05201578850665095,0.25,3,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.41518490039757494,0.5,4,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.09499786181053195,0.21739130434782608,aggregated,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.11442295914489611,0.15,average,GDPa1_cross_validation,Titer,deepsp_ridge,test
0.41766819078101347,0.0,0,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.21627381174495214,0.0,1,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.21255455455690045,0.3333333333333333,2,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
-0.013034340971999757,0.0,3,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.4524987328831061,0.25,4,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.3388184189666199,0.05263157894736842,aggregated,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.2571921897987945,0.11666666666666665,average,GDPa1_cross_validation,PR_CHO,deepsp_ridge,test
0.46317497358114434,0.2,0,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.12830799543721813,0.25,1,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.34777891519131937,0.5,2,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.39552506290950484,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.40668031709264235,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.35244844958088045,0.25,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.3482934528423658,0.24,average,GDPa1_cross_validation,AC-SINS_pH7.4,deepsp_ridge,test
0.6662530242649884,0.5238095238095238,0,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.5543741707929213,0.21052631578947367,1,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.7514521432000538,0.42105263157894735,2,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.7863557976176112,0.6470588235294118,3,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.6750792765254311,0.3684210526315789,4,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.6934804376458186,0.4895833333333333,aggregated,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.6867028824802012,0.43417366946778707,average,GDPa1_cross_validation,HIC,deepsp_ridge,train
0.5641501052894037,0.25,0,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.13634965939648638,0.06666666666666667,1,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.46789328207945086,0.07142857142857142,2,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.6533909477144573,0.2857142857142857,3,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.35245297803352776,0.1875,4,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.44558633756343374,0.18181818181818182,aggregated,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.4348473945026652,0.17226190476190475,average,GDPa1_cross_validation,Tm2,deepsp_ridge,train
0.32418228289505713,0.38095238095238093,0,GDPa1_cross_validation,Titer,deepsp_ridge,train
0.3286596174014636,0.15789473684210525,1,GDPa1_cross_validation,Titer,deepsp_ridge,train
