spearman,top_10_recall,fold,dataset,assay,model,split
0.21543363960042242,0.2,0,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.21280061082374996,0.0,1,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.26799143361677713,0.5,2,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.5426608013764801,0.25,3,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.31160548092389145,0.5,4,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.2912883323361219,0.2916666666666667,aggregated,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.31009839326826427,0.29,average,GDPa1_cross_validation,HIC,esm2_tap_rf,test
0.43153310104529624,0.0,0,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.5355364673989472,0.3333333333333333,1,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
-0.09672830725462303,0.0,2,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.23365538539059713,0.0,3,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.41294559099437156,0.25,4,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.27330991922704345,0.05263157894736842,aggregated,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.30338844751491784,0.11666666666666665,average,GDPa1_cross_validation,Tm2,esm2_tap_rf,test
0.010927419496974759,0.0,0,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.23256066582973323,0.0,1,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.04816978040448642,0.0,2,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.43642515234848606,0.5,3,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.38679272963222544,0.5,4,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.15908634418421003,0.30434782608695654,aggregated,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.22297514954238115,0.2,average,GDPa1_cross_validation,Titer,esm2_tap_rf,test
0.33330060615403334,0.25,0,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.3003160416208872,0.0,1,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.2073320839289668,0.0,2,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.1911703342559964,0.0,3,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.600595577917793,0.0,4,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.23689336557668536,0.10526315789473684,aggregated,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.3265429287755353,0.05,average,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,test
0.4357344529405723,0.4,0,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.17141810214947914,0.25,1,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.4534050847801882,0.0,2,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.3445578854294651,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.29115716284630844,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.26643236001772436,0.125,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.3392545376292026,0.18,average,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,test
0.7820010551168467,0.42857142857142855,0,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.7582708194797467,0.47368421052631576,1,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8189384793816175,0.3157894736842105,2,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8487195475434868,0.47058823529411764,3,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8338805727358198,0.5789473684210527,4,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8299605479175074,0.4583333333333333,aggregated,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8083620948515037,0.4535161432994251,average,GDPa1_cross_validation,HIC,esm2_tap_rf,train
0.8738415824530579,0.4375,0,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.7869366172529062,0.4,1,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.6012787134181065,0.2857142857142857,2,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.772163000689686,0.35714285714285715,3,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.7525350537105805,0.3125,4,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.7873792053608473,0.4025974025974026,aggregated,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.7573509935048673,0.3585714285714286,average,GDPa1_cross_validation,Tm2,esm2_tap_rf,train
0.8259155764768028,0.6666666666666666,0,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.7870531157724427,0.631578947368421,1,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.8353486254075895,0.5,2,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.886251898245513,0.5294117647058824,3,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.7321970549724117,0.5,4,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.8147971258168043,0.6210526315789474,aggregated,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.8133532541749519,0.565531475748194,average,GDPa1_cross_validation,Titer,esm2_tap_rf,train
0.7026891019205428,0.1111111111111111,0,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.7615085247681302,0.0625,1,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.860107080302662,0.21428571428571427,2,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.808213865029991,0.5,3,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.8745185096768043,0.4375,4,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.851179475207933,0.32051282051282054,aggregated,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.8014074163396261,0.2650793650793651,average,GDPa1_cross_validation,PR_CHO,esm2_tap_rf,train
0.6937954504361545,0.42857142857142855,0,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.5631489176977994,0.15789473684210525,1,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.7927884279610505,0.3157894736842105,2,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.7454394221693016,0.058823529411764705,3,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.8204237999003081,0.2631578947368421,4,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.7513051327010922,0.19791666666666666,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
0.7231192036329228,0.2448474126492702,average,GDPa1_cross_validation,AC-SINS_pH7.4,esm2_tap_rf,train
