spearman,top_10_recall,fold,dataset,assay,model,split
0.6678765453804932,0.4,0,GDPa1_cross_validation,HIC,moe_baseline,test
0.5210357812975388,0.25,1,GDPa1_cross_validation,HIC,moe_baseline,test
0.6399544222125105,0.75,2,GDPa1_cross_validation,HIC,moe_baseline,test
0.7645462673763709,0.5,3,GDPa1_cross_validation,HIC,moe_baseline,test
0.6848993565484518,0.0,4,GDPa1_cross_validation,HIC,moe_baseline,test
0.6445710028596742,0.4166666666666667,aggregated,GDPa1_cross_validation,HIC,moe_baseline,test
0.655662474563073,0.38,average,GDPa1_cross_validation,HIC,moe_baseline,test
0.013414634146341465,0.0,0,GDPa1_cross_validation,Tm2,moe_baseline,test
-0.27169274537695587,0.0,1,GDPa1_cross_validation,Tm2,moe_baseline,test
0.039829302987197716,0.0,2,GDPa1_cross_validation,Tm2,moe_baseline,test
0.402228677133585,0.0,3,GDPa1_cross_validation,Tm2,moe_baseline,test
0.3495309568480301,0.0,4,GDPa1_cross_validation,Tm2,moe_baseline,test
0.08726036263846086,0.0,aggregated,GDPa1_cross_validation,Tm2,moe_baseline,test
0.10666216514763968,0.0,average,GDPa1_cross_validation,Tm2,moe_baseline,test
0.19717742191958149,0.4,0,GDPa1_cross_validation,Titer,moe_baseline,test
0.16980159209645942,0.25,1,GDPa1_cross_validation,Titer,moe_baseline,test
-0.07899150063928986,0.0,2,GDPa1_cross_validation,Titer,moe_baseline,test
0.3409923913213785,0.25,3,GDPa1_cross_validation,Titer,moe_baseline,test
0.29022465391301233,0.0,4,GDPa1_cross_validation,Titer,moe_baseline,test
0.2237083646027028,0.2608695652173913,aggregated,GDPa1_cross_validation,Titer,moe_baseline,test
0.18384091172222838,0.18,average,GDPa1_cross_validation,Titer,moe_baseline,test
0.3399721779202526,0.0,0,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.45623538375655237,0.0,1,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.24963409601522954,0.3333333333333333,2,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.30763847777999426,0.3333333333333333,3,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.4125055990235031,0.25,4,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.3637666799546776,0.10526315789473684,aggregated,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.35319714689910636,0.18333333333333332,average,GDPa1_cross_validation,PR_CHO,moe_baseline,test
0.5417381136772743,0.2,0,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.33983652386045327,0.0,1,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.37400896141827245,0.25,2,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.3901600968589743,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.4735836469170002,0.0,4,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.46561935425060696,0.16666666666666666,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.4238654685463949,0.09,average,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,test
0.714653997061435,0.7142857142857143,0,GDPa1_cross_validation,HIC,moe_baseline,train
0.564763467526063,0.2631578947368421,1,GDPa1_cross_validation,HIC,moe_baseline,train
0.7072155487162708,0.5789473684210527,2,GDPa1_cross_validation,HIC,moe_baseline,train
0.8005814270145448,0.47058823529411764,3,GDPa1_cross_validation,HIC,moe_baseline,train
0.6722543568683134,0.3157894736842105,4,GDPa1_cross_validation,HIC,moe_baseline,train
0.7110417939971716,0.4583333333333333,aggregated,GDPa1_cross_validation,HIC,moe_baseline,train
0.6918937594373253,0.4685537372843875,average,GDPa1_cross_validation,HIC,moe_baseline,train
0.8440045230890657,0.375,0,GDPa1_cross_validation,Tm2,moe_baseline,train
0.7157375532496463,0.6666666666666666,1,GDPa1_cross_validation,Tm2,moe_baseline,train
0.6894419657587704,0.2857142857142857,2,GDPa1_cross_validation,Tm2,moe_baseline,train
0.8335639318448327,0.35714285714285715,3,GDPa1_cross_validation,Tm2,moe_baseline,train
0.6642166629534263,0.375,4,GDPa1_cross_validation,Tm2,moe_baseline,train
0.7870351188729717,0.37662337662337664,aggregated,GDPa1_cross_validation,Tm2,moe_baseline,train
0.7493929273791483,0.4119047619047619,average,GDPa1_cross_validation,Tm2,moe_baseline,train
0.23798699205760468,0.23809523809523808,0,GDPa1_cross_validation,Titer,moe_baseline,train
0.3398020575134197,0.21052631578947367,1,GDPa1_cross_validation,Titer,moe_baseline,train
0.40178975280548274,0.16666666666666666,2,GDPa1_cross_validation,Titer,moe_baseline,train
0.45029356392333575,0.29411764705882354,3,GDPa1_cross_validation,Titer,moe_baseline,train
0.4400286092733398,0.2777777777777778,4,GDPa1_cross_validation,Titer,moe_baseline,train
0.35017065797631414,0.15789473684210525,aggregated,GDPa1_cross_validation,Titer,moe_baseline,train
0.37398019511463654,0.23743672907759591,average,GDPa1_cross_validation,Titer,moe_baseline,train
0.8952687672975234,0.1111111111111111,0,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9730940287297833,0.375,1,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9540612290377587,0.14285714285714285,2,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9328420699353751,0.7142857142857143,3,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9589346109827332,0.5,4,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9578745166070654,0.38461538461538464,aggregated,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.9428401411966348,0.3686507936507937,average,GDPa1_cross_validation,PR_CHO,moe_baseline,train
0.6268445821687003,0.19047619047619047,0,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.39997711478775544,0.05263157894736842,1,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.5931949095107971,0.3157894736842105,2,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.5751121226760053,0.11764705882352941,3,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.6520460634592135,0.10526315789473684,4,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.6145153312331351,0.10416666666666667,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
0.5694349585204943,0.15636149196520716,average,GDPa1_cross_validation,AC-SINS_pH7.4,moe_baseline,train
