spearman,top_10_recall,fold,dataset,assay,model,split
0.6613030367217758,0.6,0,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.4856413939870579,0.25,1,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.6346879779133153,0.75,2,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.7925991312480217,0.5,3,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.6524989176444611,0.0,4,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.6393418301596056,0.4583333333333333,aggregated,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.6453460915029264,0.42000000000000004,average,GDPa1_cross_validation,HIC,moe_stabl_baseline,test
0.043379790940766556,0.0,0,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
-0.05613305613305613,0.0,1,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
0.45163584637268844,0.6666666666666666,2,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
0.1469978071457841,0.0,3,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
0.07617260787992497,0.0,4,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
-0.06494992023110842,0.0,aggregated,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
0.1324105992412216,0.13333333333333333,average,GDPa1_cross_validation,Tm2,moe_stabl_baseline,test
0.10004032388189808,0.4,0,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.09450913421992835,0.0,1,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
-0.0008095761412518726,0.0,2,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.3018043446957715,0.25,3,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.4497065418373176,0.0,4,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.20366500513323588,0.17391304347826086,aggregated,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.18905015369873274,0.13,average,GDPa1_cross_validation,Titer,moe_stabl_baseline,test
0.40057228813007684,0.25,0,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.5869187763154634,0.0,1,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.5005738096874425,0.3333333333333333,2,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.30763847777999426,0.3333333333333333,3,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.4675179883936993,0.0,4,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.47639578741950556,0.3157894736842105,aggregated,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.4526442680613353,0.1833333333333333,average,GDPa1_cross_validation,PR_CHO,moe_stabl_baseline,test
0.5062957917306149,0.4,0,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.3805230985354489,0.0,1,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.3876398964140596,0.25,2,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.34985225982143603,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.348816597481194,0.0,4,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.408867577284992,0.20833333333333334,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.39462552879655066,0.13,average,GDPa1_cross_validation,AC-SINS_pH7.4,moe_stabl_baseline,test
0.7234944954770308,0.8095238095238095,0,GDPa1_cross_validation,HIC,moe_stabl_baseline,train
