spearman,top_10_recall,fold,dataset,assay,model,split
0.2284596720959178,0.2,0,GDPa1_cross_validation,HIC,onehot_ridge,test
0.3866344597373439,0.0,1,GDPa1_cross_validation,HIC,onehot_ridge,test
-0.021282950157572252,0.0,2,GDPa1_cross_validation,HIC,onehot_ridge,test
0.26932159008436557,0.25,3,GDPa1_cross_validation,HIC,onehot_ridge,test
0.3014516425901999,0.0,4,GDPa1_cross_validation,HIC,onehot_ridge,test
0.22005439613291092,0.125,aggregated,GDPa1_cross_validation,HIC,onehot_ridge,test
0.23291688287005097,0.09,average,GDPa1_cross_validation,HIC,onehot_ridge,test
-0.39041811846689906,0.0,0,GDPa1_cross_validation,Tm2,onehot_ridge,test
0.05974722337552618,0.0,1,GDPa1_cross_validation,Tm2,onehot_ridge,test
-0.14864864864864863,0.0,2,GDPa1_cross_validation,Tm2,onehot_ridge,test
0.2909134022062533,0.0,3,GDPa1_cross_validation,Tm2,onehot_ridge,test
0.15703564727954974,0.25,4,GDPa1_cross_validation,Tm2,onehot_ridge,test
0.03276333777940589,0.15789473684210525,aggregated,GDPa1_cross_validation,Tm2,onehot_ridge,test
-0.0062740988508436955,0.05,average,GDPa1_cross_validation,Tm2,onehot_ridge,test
0.01399193566586805,0.2,0,GDPa1_cross_validation,Titer,onehot_ridge,test
0.3076380236361107,0.0,1,GDPa1_cross_validation,Titer,onehot_ridge,test
0.0014456716808069153,0.0,2,GDPa1_cross_validation,Titer,onehot_ridge,test
0.22547223229373492,0.25,3,GDPa1_cross_validation,Titer,onehot_ridge,test
0.4162835791033624,0.75,4,GDPa1_cross_validation,Titer,onehot_ridge,test
0.19299462436473114,0.391304347826087,aggregated,GDPa1_cross_validation,Titer,onehot_ridge,test
0.19296628847597658,0.24,average,GDPa1_cross_validation,Titer,onehot_ridge,test
0.3163436945815596,0.0,0,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.2544397785234731,0.0,1,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.08408177710973212,0.0,2,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.07792573742399854,0.0,3,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.28536585470127185,0.0,4,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.254849601728669,0.15789473684210525,aggregated,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.20363136846800706,0.0,average,GDPa1_cross_validation,PR_CHO,onehot_ridge,test
0.13372707334264083,0.0,0,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.13256220314990802,0.0,1,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.22412298297854077,0.0,2,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.3005086904882674,0.25,3,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.36056298363356204,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.2073848232005293,0.16666666666666666,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.2302967867185838,0.1,average,GDPa1_cross_validation,AC-SINS_pH7.4,onehot_ridge,test
0.9985378241766134,0.9523809523809523,0,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9981224936054063,1.0,1,GDPa1_cross_validation,HIC,onehot_ridge,train
0.997720273960336,0.7368421052631579,2,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9983529093889403,0.9411764705882353,3,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9991989522183854,0.9473684210526315,4,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9993407766056871,0.9479166666666666,aggregated,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9983864906699363,0.9155535898569955,average,GDPa1_cross_validation,HIC,onehot_ridge,train
0.9982515610999261,1.0,0,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.999049760676261,0.9333333333333333,1,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9939547583695516,0.6428571428571429,2,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9984576508203488,0.8571428571428571,3,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9985698805238473,1.0,4,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9993546451529911,0.961038961038961,aggregated,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9976567222979871,0.8866666666666667,average,GDPa1_cross_validation,Tm2,onehot_ridge,train
0.9988982972228838,0.9523809523809523,0,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9879191277865316,1.0,1,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9984652775753781,0.9444444444444444,2,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9991060483314387,0.9411764705882353,3,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9994625841407573,0.9444444444444444,4,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9986255193388728,0.9894736842105263,aggregated,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9967702670113979,0.9564892623716152,average,GDPa1_cross_validation,Titer,onehot_ridge,train
0.9453721356370111,0.16666666666666666,0,GDPa1_cross_validation,PR_CHO,onehot_ridge,train
0.9727596679250907,0.0,1,GDPa1_cross_validation,PR_CHO,onehot_ridge,train
