spearman,top_10_recall,fold,dataset,assay,model,split
0.11505656566454607,0.2,0,GDPa1_cross_validation,HIC,piggen,test
0.30324087042384373,0.0,1,GDPa1_cross_validation,HIC,piggen,test
0.4568233230250329,0.0,2,GDPa1_cross_validation,HIC,piggen,test
0.44214978660016363,0.0,3,GDPa1_cross_validation,HIC,piggen,test
0.4145215207181422,0.25,4,GDPa1_cross_validation,HIC,piggen,test
0.32971265405642236,0.125,aggregated,GDPa1_cross_validation,HIC,piggen,test
0.3463584132863457,0.09,average,GDPa1_cross_validation,HIC,piggen,test
-0.1885017421602788,0.0,0,GDPa1_cross_validation,Tm2,piggen,test
-0.23295765401028556,0.0,1,GDPa1_cross_validation,Tm2,piggen,test
-0.156235182550972,0.0,2,GDPa1_cross_validation,Tm2,piggen,test
-0.06199988156229442,0.0,3,GDPa1_cross_validation,Tm2,piggen,test
0.04690431519699813,0.0,4,GDPa1_cross_validation,Tm2,piggen,test
-0.0967884764584577,0.0,aggregated,GDPa1_cross_validation,Tm2,piggen,test
-0.11855802901736653,0.0,average,GDPa1_cross_validation,Tm2,piggen,test
0.008306451720947603,0.2,0,GDPa1_cross_validation,Titer,piggen,test
0.25747089236365317,0.0,1,GDPa1_cross_validation,Titer,piggen,test
0.23709015565233407,0.0,2,GDPa1_cross_validation,Titer,piggen,test
0.18959684428576026,0.5,3,GDPa1_cross_validation,Titer,piggen,test
0.4964871246258466,0.5,4,GDPa1_cross_validation,Titer,piggen,test
0.2438558922269494,0.34782608695652173,aggregated,GDPa1_cross_validation,Titer,piggen,test
0.23779029372970836,0.24,average,GDPa1_cross_validation,Titer,piggen,test
0.4076608331316847,0.0,0,GDPa1_cross_validation,PR_CHO,piggen,test
0.48996634791261345,0.0,1,GDPa1_cross_validation,PR_CHO,piggen,test
0.5277306569526976,0.0,2,GDPa1_cross_validation,PR_CHO,piggen,test
0.4049054953559924,0.0,3,GDPa1_cross_validation,PR_CHO,piggen,test
0.2885094198081402,0.25,4,GDPa1_cross_validation,PR_CHO,piggen,test
0.4930227499414363,0.15789473684210525,aggregated,GDPa1_cross_validation,PR_CHO,piggen,test
0.42375455063222567,0.05,average,GDPa1_cross_validation,PR_CHO,piggen,test
0.5452136435374939,0.4,0,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.029833185452041073,0.0,1,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.3345824323069517,0.0,2,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.5866872742889335,0.5,3,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.44529017766303514,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.3902272872037334,0.125,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.3883213426496911,0.22999999999999998,average,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,test
0.5841558415726089,0.2857142857142857,0,GDPa1_cross_validation,HIC,piggen,train
0.6531771561415912,0.10526315789473684,1,GDPa1_cross_validation,HIC,piggen,train
0.6881353579518874,0.2631578947368421,2,GDPa1_cross_validation,HIC,piggen,train
0.6410033372501204,0.23529411764705882,3,GDPa1_cross_validation,HIC,piggen,train
0.5950250070548766,0.2631578947368421,4,GDPa1_cross_validation,HIC,piggen,train
0.6464243369102882,0.2708333333333333,aggregated,GDPa1_cross_validation,HIC,piggen,train
0.6322993399942168,0.23051747014595309,average,GDPa1_cross_validation,HIC,piggen,train
0.7984815087657475,0.25,0,GDPa1_cross_validation,Tm2,piggen,train
0.28396510728400753,0.06666666666666667,1,GDPa1_cross_validation,Tm2,piggen,train
0.3757899381523258,0.0,2,GDPa1_cross_validation,Tm2,piggen,train
0.7012371482479872,0.07142857142857142,3,GDPa1_cross_validation,Tm2,piggen,train
0.45581151948638526,0.3125,4,GDPa1_cross_validation,Tm2,piggen,train
0.5929067759547776,0.22077922077922077,aggregated,GDPa1_cross_validation,Tm2,piggen,train
0.5230570443872906,0.14011904761904762,average,GDPa1_cross_validation,Tm2,piggen,train
0.4140639544181734,0.5714285714285714,0,GDPa1_cross_validation,Titer,piggen,train
0.6737052802076147,0.3684210526315789,1,GDPa1_cross_validation,Titer,piggen,train
0.812569675089355,0.5,2,GDPa1_cross_validation,Titer,piggen,train
0.6900155969956131,0.6470588235294118,3,GDPa1_cross_validation,Titer,piggen,train
0.7187410971720019,0.7777777777777778,4,GDPa1_cross_validation,Titer,piggen,train
0.6619903059457828,0.5684210526315789,aggregated,GDPa1_cross_validation,Titer,piggen,train
0.6618191207765516,0.572937245073468,average,GDPa1_cross_validation,Titer,piggen,train
0.5718071880921359,0.05555555555555555,0,GDPa1_cross_validation,PR_CHO,piggen,train
0.6929441116962163,0.0,1,GDPa1_cross_validation,PR_CHO,piggen,train
0.8195660037951582,0.14285714285714285,2,GDPa1_cross_validation,PR_CHO,piggen,train
0.7544152497739887,0.35714285714285715,3,GDPa1_cross_validation,PR_CHO,piggen,train
0.7592866030337576,0.25,4,GDPa1_cross_validation,PR_CHO,piggen,train
0.7809285537870299,0.1794871794871795,aggregated,GDPa1_cross_validation,PR_CHO,piggen,train
0.7196038312782514,0.16111111111111112,average,GDPa1_cross_validation,PR_CHO,piggen,train
0.6413807821516306,0.38095238095238093,0,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.3131165477896767,0.05263157894736842,1,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.7050707127015066,0.10526315789473684,2,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.7309054728793777,0.4117647058823529,3,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.7712837080574702,0.3157894736842105,4,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.6745443374689698,0.22916666666666666,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
0.6323514447159324,0.25328025947220995,average,GDPa1_cross_validation,AC-SINS_pH7.4,piggen,train
