spearman,top_10_recall,fold,dataset,assay,model,split
0.21154442142053329,0.25,0,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.42078942160359223,0.0,1,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.2903880540043509,0.0,2,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.31072187026799414,0.0,3,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.21341314225517394,0.25,4,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.3255067952523663,0.10526315789473684,aggregated,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.2893713819103289,0.1,average,GDPa1_cross_validation,PR_CHO,saprot_vh,test
0.1928571428571429,0.0,0,GDPa1_cross_validation,Tm2,saprot_vh,test
0.2665645350600399,0.3333333333333333,1,GDPa1_cross_validation,Tm2,saprot_vh,test
0.1017129988153893,0.0,2,GDPa1_cross_validation,Tm2,saprot_vh,test
-0.055242724298334975,0.0,3,GDPa1_cross_validation,Tm2,saprot_vh,test
0.30450281425891185,0.25,4,GDPa1_cross_validation,Tm2,saprot_vh,test
0.19247916036483836,0.15789473684210525,aggregated,GDPa1_cross_validation,Tm2,saprot_vh,test
0.16207895333862982,0.11666666666666665,average,GDPa1_cross_validation,Tm2,saprot_vh,test
0.2115444214205333,0.2222222222222222,0,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.4207894216035922,0.0,1,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.2903880540043509,0.14285714285714285,2,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.31072187026799414,0.0,3,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.2134131422551739,0.25,4,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.3255067952523663,0.1282051282051282,aggregated,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.28937138191032885,0.12301587301587302,average,GDPa1_cross_validation,PR_CHO,saprot_vh,train
0.19285714285714292,0.0,0,GDPa1_cross_validation,Tm2,saprot_vh,train
0.2665645350600399,0.26666666666666666,1,GDPa1_cross_validation,Tm2,saprot_vh,train
0.10171299881538932,0.2857142857142857,2,GDPa1_cross_validation,Tm2,saprot_vh,train
-0.05524272429833499,0.0,3,GDPa1_cross_validation,Tm2,saprot_vh,train
0.3045028142589118,0.25,4,GDPa1_cross_validation,Tm2,saprot_vh,train
0.19247916036483842,0.16883116883116883,aggregated,GDPa1_cross_validation,Tm2,saprot_vh,train
0.1620789533386298,0.1604761904761905,average,GDPa1_cross_validation,Tm2,saprot_vh,train
