spearman,top_10_recall,fold,dataset,assay,model,split
0.37299620603974293,0.6,0,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.3878182560522627,0.25,1,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.5442897329838312,0.0,2,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.4026079357660027,0.25,3,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.25823404928046745,0.0,4,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.3639586335067061,0.3333333333333333,aggregated,GDPa1_cross_validation,HIC,saprot_vh_vl,test
0.39318923602446143,0.22000000000000003,average,GDPa1_cross_validation,HIC,saprot_vh_vl,test
-0.30505226480836245,0.0,0,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
-0.22507933034248823,0.0,1,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
-0.2110004741583689,0.0,2,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
0.2723015830756984,0.0,3,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
0.11575984990619138,0.0,4,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
-0.09848861379652125,0.0,aggregated,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
-0.07061412726546597,0.0,average,GDPa1_cross_validation,Tm2,saprot_vh_vl,test
0.0628629040434821,0.2,0,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.16459029003723305,0.25,1,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.11727288674705696,0.25,2,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.468353542854601,0.5,3,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.5064908833680165,0.25,4,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.2852304284380542,0.43478260869565216,aggregated,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.263914101410078,0.29,average,GDPa1_cross_validation,Titer,saprot_vh_vl,test
0.4226718696056779,0.25,0,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.4284796189652792,0.0,1,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.5165023451026401,0.0,2,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.34449903343199356,0.0,3,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.42752485453409633,0.25,4,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.503073340942787,0.15789473684210525,aggregated,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.4279355443279374,0.1,average,GDPa1_cross_validation,PR_CHO,saprot_vh_vl,test
0.38740034000077217,0.2,0,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.1518929094770281,0.25,1,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.34071906838075233,0.0,2,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.5686864013562326,0.25,3,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.3912568013621415,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.3608657568187442,0.08333333333333333,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
0.3679911041153854,0.19,average,GDPa1_cross_validation,AC-SINS_pH7.4,saprot_vh_vl,test
