spearman,top_10_recall,fold,dataset,assay,model,split
0.46371112405278353,0.2,0,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.12395439197230718,0.25,1,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.4114329751239394,0.25,2,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.35800687002182097,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.28035124901730707,0.25,4,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.3509821764410461,0.125,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.32749132203763165,0.19,average,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,test
0.07496470308049236,0.4,0,GDPa1_cross_validation,HIC,tap_single_features,test
0.00236413156601313,0.25,1,GDPa1_cross_validation,HIC,tap_single_features,test
0.2446568728756102,0.25,2,GDPa1_cross_validation,HIC,tap_single_features,test
0.5161767530324934,0.25,3,GDPa1_cross_validation,HIC,tap_single_features,test
0.3167376986762634,0.25,4,GDPa1_cross_validation,HIC,tap_single_features,test
0.2450651623577951,0.25,aggregated,GDPa1_cross_validation,HIC,tap_single_features,test
0.2309800318461745,0.27999999999999997,average,GDPa1_cross_validation,HIC,tap_single_features,test
0.19118492574156443,0.0,0,GDPa1_cross_validation,PR_CHO,tap_single_features,test
-0.04129095431306853,0.0,1,GDPa1_cross_validation,PR_CHO,tap_single_features,test
-0.11666442809965631,0.0,2,GDPa1_cross_validation,PR_CHO,tap_single_features,test
0.126409737304268,0.0,3,GDPa1_cross_validation,PR_CHO,tap_single_features,test
0.20985595550001326,0.25,4,GDPa1_cross_validation,PR_CHO,tap_single_features,test
0.15309435609212585,0.15789473684210525,aggregated,GDPa1_cross_validation,PR_CHO,tap_single_features,test
0.07389904722662417,0.05,average,GDPa1_cross_validation,PR_CHO,tap_single_features,test
-0.04816558989784503,0.0,0,GDPa1_cross_validation,Titer,tap_single_features,test
0.10764048107533664,0.0,1,GDPa1_cross_validation,Titer,tap_single_features,test
0.15975882946170764,0.0,2,GDPa1_cross_validation,Titer,tap_single_features,test
0.2405979191173639,0.0,3,GDPa1_cross_validation,Titer,tap_single_features,test
0.1702133822752451,0.0,4,GDPa1_cross_validation,Titer,tap_single_features,test
0.14237566887863987,0.08695652173913043,aggregated,GDPa1_cross_validation,Titer,tap_single_features,test
0.12600900440636165,0.0,average,GDPa1_cross_validation,Titer,tap_single_features,test
0.4637111240527836,0.19047619047619047,0,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.12395439197230719,0.21052631578947367,1,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.4114329751239394,0.21052631578947367,2,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.35800687002182097,0.0,3,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.28035124901730707,0.21052631578947367,4,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.35098217644104607,0.125,aggregated,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.32749132203763165,0.16441102756892229,average,GDPa1_cross_validation,AC-SINS_pH7.4,tap_single_features,train
0.07496470308049237,0.38095238095238093,0,GDPa1_cross_validation,HIC,tap_single_features,train
0.0023641315660131302,0.21052631578947367,1,GDPa1_cross_validation,HIC,tap_single_features,train
0.24465687287561022,0.21052631578947367,2,GDPa1_cross_validation,HIC,tap_single_features,train
0.5161767530324936,0.23529411764705882,3,GDPa1_cross_validation,HIC,tap_single_features,train
0.3167376986762634,0.3684210526315789,4,GDPa1_cross_validation,HIC,tap_single_features,train
0.24506516235779513,0.25,aggregated,GDPa1_cross_validation,HIC,tap_single_features,train
0.23098003184617455,0.2811440365619932,average,GDPa1_cross_validation,HIC,tap_single_features,train
0.19118492574156443,0.0,0,GDPa1_cross_validation,PR_CHO,tap_single_features,train
-0.04129095431306852,0.0,1,GDPa1_cross_validation,PR_CHO,tap_single_features,train
-0.1166644280996563,0.0,2,GDPa1_cross_validation,PR_CHO,tap_single_features,train
0.12640973730426797,0.14285714285714285,3,GDPa1_cross_validation,PR_CHO,tap_single_features,train
0.2098559555000132,0.25,4,GDPa1_cross_validation,PR_CHO,tap_single_features,train
0.15309435609212588,0.10256410256410256,aggregated,GDPa1_cross_validation,PR_CHO,tap_single_features,train
0.07389904722662416,0.07857142857142857,average,GDPa1_cross_validation,PR_CHO,tap_single_features,train
-0.04816558989784503,0.047619047619047616,0,GDPa1_cross_validation,Titer,tap_single_features,train
0.10764048107533665,0.15789473684210525,1,GDPa1_cross_validation,Titer,tap_single_features,train
0.15975882946170764,0.0,2,GDPa1_cross_validation,Titer,tap_single_features,train
0.24059791911736395,0.0,3,GDPa1_cross_validation,Titer,tap_single_features,train
0.1702133822752451,0.0,4,GDPa1_cross_validation,Titer,tap_single_features,train
0.14237566887863987,0.11578947368421053,aggregated,GDPa1_cross_validation,Titer,tap_single_features,train
0.12600900440636167,0.04110275689223057,average,GDPa1_cross_validation,Titer,tap_single_features,train
